date,river-level
02/17/2010,7.1785185185
02/18/2010,7.3908421053
02/19/2010,7.1423958333
02/20/2010,6.9809375
02/21/2010,7.2508421053
02/22/2010,12.2913541667
02/23/2010,13.9717582418
02/24/2010,12.8617894737
02/25/2010,11.0701052632
02/26/2010,9.7795833333
02/27/2010,8.8033684211
02/28/2010,7.3923958333
03/01/2010,6.3091489362
03/02/2010,6.2644791667
03/03/2010,7.5554166667
03/04/2010,7.7944210526
03/05/2010,7.3304210526
03/06/2010,7.0341052632
03/07/2010,6.5121875
03/08/2010,6.2332631579
03/09/2010,7.7887368421
03/10/2010,11.700625
03/11/2010,14.5388541667
03/12/2010,17.0195833333
03/13/2010,18.5277894737
03/14/2010,19.2516666667
03/15/2010,20.1065263158
03/16/2010,20.4281052632
03/17/2010,20.0991666667
03/18/2010,19.2022916667
03/19/2010,17.5608421053
03/20/2010,15.9061458333
03/21/2010,15.4465625
03/22/2010,15.9706315789
03/23/2010,17.1580208333
03/24/2010,18.0801041667
03/25/2010,17.9363157895
03/26/2010,19.03875
03/27/2010,20.0187368421
03/28/2010,20.7585416667
03/29/2010,20.7947368421
03/30/2010,19.8977894737
03/31/2010,18.7120833333
04/01/2010,17.4651578947
04/02/2010,16.1835789474
04/03/2010,17.34375
04/04/2010,17.8853684211
04/05/2010,16.7562105263
04/06/2010,16.9011458333
04/07/2010,16.7091666667
04/08/2010,17.0357291667
04/09/2010,17.8621875
04/10/2010,17.0346875
04/11/2010,15.5092631579
04/12/2010,14.3185263158
04/13/2010,13.3339583333
04/14/2010,12.8489473684
04/15/2010,12.6449473684
04/16/2010,12.0060416667
04/17/2010,11.3838541667
04/18/2010,10.6394736842
04/19/2010,9.9633333333
04/20/2010,9.5801041667
04/21/2010,9.3087368421
04/22/2010,8.9632291667
04/23/2010,8.78
04/24/2010,9.0973684211
04/25/2010,14.7030208333
04/26/2010,19.9690625
04/27/2010,21.0963829787
04/28/2010,20.6718085106
04/29/2010,19.1569791667
04/30/2010,17.6442105263
05/01/2010,15.8641666667
05/02/2010,14.016875
05/03/2010,13.174
05/04/2010,13.9876041667
05/05/2010,14.3532631579
05/06/2010,13.4727083333
05/07/2010,12.9518947368
05/08/2010,12.2187368421
05/09/2010,11.52
05/10/2010,11.9171578947
05/11/2010,12.4982105263
05/12/2010,14.9711458333
05/13/2010,19.6402105263
05/14/2010,22.2398947368
05/15/2010,23.4496875
05/16/2010,24.436
05/17/2010,24.7734736842
05/18/2010,24.9936458333
05/19/2010,24.3753125
05/20/2010,23.1973958333
05/21/2010,23.1057894737
05/22/2010,23.6420833333
05/23/2010,22.7506315789
05/24/2010,21.605
05/25/2010,20.6796842105
05/26/2010,18.9063541667
05/27/2010,17.4416842105
05/28/2010,17.3215789474
05/29/2010,16.9466666667
05/30/2010,16.3103125
05/31/2010,15.7846875
06/01/2010,15.1542553191
06/02/2010,14.5977083333
06/03/2010,14.6208421053
06/04/2010,15.9777083333
06/05/2010,18.16125
06/07/2010,18.06375
06/08/2010,17.8441666667
06/09/2010,19.4974736842
06/10/2010,20.9787368421
06/11/2010,20.5289583333
06/12/2010,20.3827368421
06/13/2010,20.2498947368
06/14/2010,20.25
06/15/2010,20.6030208333
06/16/2010,21.1585263158
06/17/2010,22.2208421053
06/18/2010,23.0022916667
06/19/2010,23.256875
06/20/2010,23.5184210526
06/21/2010,23.6994791667
06/22/2010,23.39
06/23/2010,22.4863157895
06/24/2010,21.5723157895
06/25/2010,21.3133684211
06/26/2010,21.0011578947
06/27/2010,20.5441052632
06/28/2010,20.4903157895
06/29/2010,20.8602105263
06/30/2010,20.6186458333
07/01/2010,19.9416666667
07/02/2010,19.0910526316
07/03/2010,18.0354736842
07/04/2010,17.3026041667
07/05/2010,16.7465625
07/06/2010,16.4636458333
07/07/2010,17.6807291667
07/08/2010,19.9494736842
07/09/2010,21.906875
07/10/2010,21.9973958333
07/11/2010,20.6421052632
07/12/2010,19.2243157895
07/13/2010,18.6922105263
07/14/2010,18.678125
07/15/2010,18.0015789474
07/16/2010,17.3216666667
07/17/2010,16.6186458333
07/18/2010,16.4364210526
07/19/2010,17.1185263158
07/20/2010,16.7976041667
07/21/2010,16.9229166667
07/23/2010,18.5463541667
07/24/2010,18.5236842105
07/25/2010,18.0344210526
07/26/2010,17.7388541667
07/27/2010,17.5886315789
07/28/2010,16.8727083333
07/29/2010,16.1648421053
07/30/2010,16.3130526316
07/31/2010,16.9894791667
08/01/2010,16.7730526316
08/02/2010,15.7258947368
08/03/2010,15.0461052632
08/04/2010,14.5246808511
08/05/2010,14.1454736842
08/06/2010,13.6805208333
08/07/2010,13.2697916667
08/08/2010,13.2404210526
08/09/2010,13.740625
08/10/2010,14.1448958333
08/11/2010,14.4581052632
08/12/2010,14.3788421053
08/13/2010,13.9501052632
08/14/2010,13.8097894737
08/15/2010,13.9242553191
08/16/2010,14.116875
08/17/2010,14.1605208333
08/18/2010,13.8102083333
08/19/2010,13.5995789474
08/20/2010,13.2644210526
08/21/2010,14.6638947368
08/22/2010,16.5721875
08/23/2010,16.09875
08/24/2010,14.5491666667
08/25/2010,12.8036458333
08/26/2010,11.4932291667
08/27/2010,10.8014736842
08/28/2010,10.4625263158
08/29/2010,10.136
08/30/2010,9.8072916667
08/31/2010,9.4566315789
09/01/2010,9.4024210526
09/02/2010,10.039375
09/03/2010,12.8888541667
09/04/2010,13.1988421053
09/05/2010,12.3921052632
09/06/2010,11.6353125
09/07/2010,10.6876842105
09/08/2010,9.8610526316
09/09/2010,9.45875
09/10/2010,10.7615789474
09/11/2010,11.7664210526
09/12/2010,12.9497916667
09/13/2010,13.0358947368
09/14/2010,12.0719791667
09/15/2010,11.3317708333
09/16/2010,11.9627083333
09/17/2010,12.6152083333
09/18/2010,13.2629166667
09/19/2010,16.6040425532
09/20/2010,16.8345833333
09/21/2010,17.0189583333
09/22/2010,17.2036458333
09/23/2010,18.9374736842
09/24/2010,20.8091666667
09/25/2010,21.3246875
09/26/2010,20.9849473684
09/27/2010,20.4046315789
09/28/2010,19.5077894737
09/29/2010,18.0428125
09/30/2010,16.1837894737
10/01/2010,14.625
10/02/2010,13.6342105263
10/03/2010,12.9447916667
10/04/2010,12.3876595745
10/05/2010,12.0333333333
10/06/2010,12.0335416667
10/07/2010,11.9817894737
10/08/2010,11.8326315789
10/09/2010,11.7054736842
10/10/2010,11.5058333333
10/11/2010,10.7830526316
10/12/2010,10.435
10/13/2010,10.416
10/14/2010,9.968
10/15/2010,9.5341052632
10/16/2010,9.2532291667
10/17/2010,9.0219791667
10/18/2010,8.9062765957
10/19/2010,8.760625
10/20/2010,8.666
10/21/2010,8.5546315789
10/22/2010,8.3988541667
10/23/2010,8.2815957447
10/24/2010,8.2116666667
10/25/2010,8.1686315789
10/26/2010,8.3184375
10/27/2010,8.4601041667
10/28/2010,8.4139583333
10/30/2010,8.1261458333
10/31/2010,8.1102105263
11/01/2010,8.2051041667
11/02/2010,8.2614736842
11/03/2010,8.2986315789
11/04/2010,8.28
11/05/2010,8.5029166667
11/06/2010,8.2653684211
11/07/2010,8.0770707071
11/08/2010,7.7813541667
11/09/2010,7.5958947368
11/10/2010,7.5398947368
11/11/2010,7.5235416667
11/12/2010,7.4962105263
11/13/2010,7.5164583333
11/14/2010,7.6286458333
11/15/2010,8.13875
11/16/2010,9.1821052632
11/17/2010,10.0726315789
11/18/2010,9.8839583333
11/19/2010,9.1782105263
11/20/2010,8.7065625
11/21/2010,8.5129473684
11/22/2010,8.2348958333
11/23/2010,8.0689473684
11/24/2010,8.1624210526
11/25/2010,9.5569791667
11/26/2010,9.6110416667
11/27/2010,8.8922916667
11/28/2010,8.4940625
11/29/2010,8.4459375
11/30/2010,8.1534736842
12/01/2010,7.7540625
12/02/2010,7.5061458333
12/04/2010,7.6661458333
12/05/2010,7.6166666667
12/06/2010,7.2965263158
12/07/2010,7.0411578947
